Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
eBib;Onleihe Neckar-Alb;07.08.2024;;;Einmalig
Hi;Hirschau;07.08.2024;;;Einmalig
MZU;Medienzentrum;07.08.2024;;;Einmalig
WO;Waldhäuser-Ost;07.08.2024;;;Einmalig
D;Derendingen;08.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;08.08.2024;;;Einmalig
Hi;Hirschau;08.08.2024;;;Einmalig
MZU;Medienzentrum;08.08.2024;;;Einmalig
WO;Waldhäuser-Ost;08.08.2024;;;Einmalig
D;Derendingen;09.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;09.08.2024;;;Einmalig
Hi;Hirschau;09.08.2024;;;Einmalig
MZU;Medienzentrum;09.08.2024;;;Einmalig
WO;Waldhäuser-Ost;09.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;10.08.2024;;;Einmalig
Hi;Hirschau;10.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;11.08.2024;;;Einmalig
D;Derendingen;12.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;12.08.2024;;;Einmalig
Hi;Hirschau;12.08.2024;;;Einmalig
MZU;Medienzentrum;12.08.2024;;;Einmalig
WO;Waldhäuser-Ost;12.08.2024;;;Einmalig
D;Derendingen;13.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;13.08.2024;;;Einmalig
Hi;Hirschau;13.08.2024;;;Einmalig
MZU;Medienzentrum;13.08.2024;;;Einmalig
WO;Waldhäuser-Ost;13.08.2024;;;Einmalig
D;Derendingen;14.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;14.08.2024;;;Einmalig
Hi;Hirschau;14.08.2024;;;Einmalig
MZU;Medienzentrum;14.08.2024;;;Einmalig
WO;Waldhäuser-Ost;14.08.2024;;;Einmalig
D;Derendingen;15.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;15.08.2024;;;Einmalig
Hi;Hirschau;15.08.2024;;;Einmalig
MZU;Medienzentrum;15.08.2024;;;Einmalig
WO;Waldhäuser-Ost;15.08.2024;;;Einmalig
D;Derendingen;16.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;16.08.2024;;;Einmalig
Hi;Hirschau;16.08.2024;;;Einmalig
MZU;Medienzentrum;16.08.2024;;;Einmalig
WO;Waldhäuser-Ost;16.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;17.08.2024;;;Einmalig
Hi;Hirschau;17.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;18.08.2024;;;Einmalig
D;Derendingen;19.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;19.08.2024;;;Einmalig
Hi;Hirschau;19.08.2024;;;Einmalig
MZU;Medienzentrum;19.08.2024;;;Einmalig
WO;Waldhäuser-Ost;19.08.2024;;;Einmalig
D;Derendingen;20.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;20.08.2024;;;Einmalig
Hi;Hirschau;20.08.2024;;;Einmalig
MZU;Medienzentrum;20.08.2024;;;Einmalig
WO;Waldhäuser-Ost;20.08.2024;;;Einmalig
D;Derendingen;21.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;21.08.2024;;;Einmalig
Hi;Hirschau;21.08.2024;;;Einmalig
MZU;Medienzentrum;21.08.2024;;;Einmalig
WO;Waldhäuser-Ost;21.08.2024;;;Einmalig
D;Derendingen;22.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;22.08.2024;;;Einmalig
Hi;Hirschau;22.08.2024;;;Einmalig
MZU;Medienzentrum;22.08.2024;;;Einmalig
WO;Waldhäuser-Ost;22.08.2024;;;Einmalig
D;Derendingen;23.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;23.08.2024;;;Einmalig
Hi;Hirschau;23.08.2024;;;Einmalig
MZU;Medienzentrum;23.08.2024;;;Einmalig
WO;Waldhäuser-Ost;23.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;24.08.2024;;;Einmalig
Hi;Hirschau;24.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;25.08.2024;;;Einmalig
D;Derendingen;26.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;26.08.2024;;;Einmalig
Hi;Hirschau;26.08.2024;;;Einmalig
MZU;Medienzentrum;26.08.2024;;;Einmalig
WO;Waldhäuser-Ost;26.08.2024;;;Einmalig
D;Derendingen;27.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;27.08.2024;;;Einmalig
Hi;Hirschau;27.08.2024;;;Einmalig
MZU;Medienzentrum;27.08.2024;;;Einmalig
WO;Waldhäuser-Ost;27.08.2024;;;Einmalig
D;Derendingen;28.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;28.08.2024;;;Einmalig
Hi;Hirschau;28.08.2024;;;Einmalig
MZU;Medienzentrum;28.08.2024;;;Einmalig
WO;Waldhäuser-Ost;28.08.2024;;;Einmalig
D;Derendingen;29.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;29.08.2024;;;Einmalig
Hi;Hirschau;29.08.2024;;;Einmalig
MZU;Medienzentrum;29.08.2024;;;Einmalig
WO;Waldhäuser-Ost;29.08.2024;;;Einmalig
D;Derendingen;30.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;30.08.2024;;;Einmalig
Hi;Hirschau;30.08.2024;;;Einmalig
MZU;Medienzentrum;30.08.2024;;;Einmalig
WO;Waldhäuser-Ost;30.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;31.08.2024;;;Einmalig
Hi;Hirschau;31.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;01.09.2024;;;Einmalig
D;Derendingen;02.09.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;02.09.2024;;;Einmalig
Hi;Hirschau;02.09.2024;;;Einmalig
MZU;Medienzentrum;02.09.2024;;;Einmalig
WO;Waldhäuser-Ost;02.09.2024;;;Einmalig
D;Derendingen;03.09.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;03.09.2024;;;Einmalig
Hi;Hirschau;03.09.2024;;;Einmalig
MZU;Medienzentrum;03.09.2024;;;Einmalig
WO;Waldhäuser-Ost;03.09.2024;;;Einmalig
D;Derendingen;04.09.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;04.09.2024;;;Einmalig
Hi;Hirschau;04.09.2024;;;Einmalig
MZU;Medienzentrum;04.09.2024;;;Einmalig
WO;Waldhäuser-Ost;04.09.2024;;;Einmalig
D;Derendingen;05.09.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;05.09.2024;;;Einmalig
Hi;Hirschau;05.09.2024;;;Einmalig
MZU;Medienzentrum;05.09.2024;;;Einmalig
WO;Waldhäuser-Ost;05.09.2024;;;Einmalig
D;Derendingen;06.09.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;06.09.2024;;;Einmalig
Hi;Hirschau;06.09.2024;;;Einmalig
MZU;Medienzentrum;06.09.2024;;;Einmalig
WO;Waldhäuser-Ost;06.09.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;07.09.2024;;;Einmalig
Hi;Hirschau;07.09.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;08.09.2024;;;Einmalig
D;Derendingen;04.10.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;04.10.2024;;;Einmalig
Hi;Hirschau;04.10.2024;;;Einmalig
MZU;Medienzentrum;04.10.2024;;;Einmalig
WO;Waldhäuser-Ost;04.10.2024;;;Einmalig
D;Derendingen;28.10.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;28.10.2024;;;Einmalig
Hi;Hirschau;28.10.2024;;;Einmalig
MZU;Medienzentrum;28.10.2024;;;Einmalig
WO;Waldhäuser-Ost;28.10.2024;;;Einmalig
D;Derendingen;29.10.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;29.10.2024;;;Einmalig
Hi;Hirschau;29.10.2024;;;Einmalig
MZU;Medienzentrum;29.10.2024;;;Einmalig
WO;Waldhäuser-Ost;29.10.2024;;;Einmalig
D;Derendingen;30.10.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;30.10.2024;;;Einmalig
Hi;Hirschau;30.10.2024;;;Einmalig
MZU;Medienzentrum;30.10.2024;;;Einmalig
WO;Waldhäuser-Ost;30.10.2024;;;Einmalig
D;Derendingen;31.10.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;31.10.2024;;;Einmalig
Hi;Hirschau;31.10.2024;;;Einmalig
MZU;Medienzentrum;31.10.2024;;;Einmalig
WO;Waldhäuser-Ost;31.10.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;02.11.2024;;;Einmalig
Hi;Hirschau;02.11.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;03.11.2024;;;Einmalig
HST;Hauptstelle Tübingen;17.12.2024;Kulanz da Weihnachtsfeier;;Einmalig
D;Derendingen;23.12.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;23.12.2024;;;Einmalig
Hi;Hirschau;23.12.2024;;;Einmalig
MZU;Medienzentrum;23.12.2024;;;Einmalig
