Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
WO;Waldhäuser-Ost;04.03.2025;;;Einmalig
D;Derendingen;05.03.2025;;;Einmalig
MZU;Medienzentrum;05.03.2025;b.F.;;Einmalig
WO;Waldhäuser-Ost;05.03.2025;;;Einmalig
D;Derendingen;06.03.2025;;;Einmalig
MZU;Medienzentrum;06.03.2025;b.F.;;Einmalig
WO;Waldhäuser-Ost;06.03.2025;;;Einmalig
D;Derendingen;07.03.2025;;;Einmalig
MZU;Medienzentrum;07.03.2025;b.F.;;Einmalig
WO;Waldhäuser-Ost;07.03.2025;;;Einmalig
D;Derendingen;14.04.2025;;;Einmalig
MZU;Medienzentrum;14.04.2025;;;Einmalig
WO;Waldhäuser-Ost;14.04.2025;;;Einmalig
D;Derendingen;15.04.2025;;;Einmalig
MZU;Medienzentrum;15.04.2025;;;Einmalig
WO;Waldhäuser-Ost;15.04.2025;;;Einmalig
D;Derendingen;16.04.2025;;;Einmalig
MZU;Medienzentrum;16.04.2025;;;Einmalig
WO;Waldhäuser-Ost;16.04.2025;;;Einmalig
D;Derendingen;17.04.2025;;;Einmalig
eBib;Onleihe Neckar-Alb;17.04.2025;Koha Ausfall;;Einmalig
Hi;Hirschau;17.04.2025;Koha Ausfall;;Einmalig
HST;Hauptstelle Tübingen;17.04.2025;Koha Ausfall;;Einmalig
MZU;Medienzentrum;17.04.2025;;;Einmalig
WO;Waldhäuser-Ost;17.04.2025;;;Einmalig
D;Derendingen;18.04.2025;Karfreitag;;Einmalig
eBib;Onleihe Neckar-Alb;18.04.2025;Karfreitag;;Einmalig
Hi;Hirschau;18.04.2025;Karfreitag;;Einmalig
HST;Hauptstelle Tübingen;18.04.2025;Karfreitag;;Einmalig
MZU;Medienzentrum;18.04.2025;Karfreitag;;Einmalig
WO;Waldhäuser-Ost;18.04.2025;Karfreitag;;Einmalig
eBib;Onleihe Neckar-Alb;19.04.2025;Karsamstag;;Einmalig
Hi;Hirschau;19.04.2025;Karsamstag;;Einmalig
HST;Hauptstelle Tübingen;19.04.2025;Karsamstag;;Einmalig
D;Derendingen;21.04.2025;Ostermontag;;Einmalig
eBib;Onleihe Neckar-Alb;21.04.2025;Ostermontag;;Einmalig
Hi;Hirschau;21.04.2025;Ostermontag;;Einmalig
MZU;Medienzentrum;21.04.2025;Ostermontag;;Einmalig
WO;Waldhäuser-Ost;21.04.2025;Ostermontag;;Einmalig
D;Derendingen;22.04.2025;;;Einmalig
MZU;Medienzentrum;22.04.2025;;;Einmalig
WO;Waldhäuser-Ost;22.04.2025;;;Einmalig
D;Derendingen;23.04.2025;;;Einmalig
MZU;Medienzentrum;23.04.2025;;;Einmalig
WO;Waldhäuser-Ost;23.04.2025;;;Einmalig
D;Derendingen;24.04.2025;;;Einmalig
MZU;Medienzentrum;24.04.2025;;;Einmalig
WO;Waldhäuser-Ost;24.04.2025;;;Einmalig
D;Derendingen;25.04.2025;;;Einmalig
MZU;Medienzentrum;25.04.2025;;;Einmalig
WO;Waldhäuser-Ost;25.04.2025;;;Einmalig
D;Derendingen;29.05.2025;Christi Himmelfahrt;;Einmalig
eBib;Onleihe Neckar-Alb;29.05.2025;Christi Himmelfahrt;;Einmalig
Hi;Hirschau;29.05.2025;Christi Himmelfahrt;;Einmalig
HST;Hauptstelle Tübingen;29.05.2025;Christi Himmelfahrt;;Einmalig
MZU;Medienzentrum;29.05.2025;Christi Himmelfahrt;;Einmalig
WO;Waldhäuser-Ost;29.05.2025;Christi Himmelfahrt;;Einmalig
D;Derendingen;09.06.2025;Pfingstmontag;;Einmalig
eBib;Onleihe Neckar-Alb;09.06.2025;Pfingstmontag;;Einmalig
Hi;Hirschau;09.06.2025;Pfingstmontag;;Einmalig
MZU;Medienzentrum;09.06.2025;Pfingstmontag;;Einmalig
WO;Waldhäuser-Ost;09.06.2025;Pfingstmontag;;Einmalig
D;Derendingen;10.06.2025;;;Einmalig
MZU;Medienzentrum;10.06.2025;;;Einmalig
WO;Waldhäuser-Ost;10.06.2025;;;Einmalig
D;Derendingen;11.06.2025;;;Einmalig
MZU;Medienzentrum;11.06.2025;;;Einmalig
WO;Waldhäuser-Ost;11.06.2025;;;Einmalig
D;Derendingen;12.06.2025;;;Einmalig
MZU;Medienzentrum;12.06.2025;;;Einmalig
WO;Waldhäuser-Ost;12.06.2025;;;Einmalig
D;Derendingen;13.06.2025;;;Einmalig
MZU;Medienzentrum;13.06.2025;;;Einmalig
WO;Waldhäuser-Ost;13.06.2025;;;Einmalig
D;Derendingen;16.06.2025;;;Einmalig
MZU;Medienzentrum;16.06.2025;;;Einmalig
WO;Waldhäuser-Ost;16.06.2025;;;Einmalig
D;Derendingen;17.06.2025;;;Einmalig
MZU;Medienzentrum;17.06.2025;;;Einmalig
WO;Waldhäuser-Ost;17.06.2025;;;Einmalig
D;Derendingen;18.06.2025;;;Einmalig
MZU;Medienzentrum;18.06.2025;;;Einmalig
WO;Waldhäuser-Ost;18.06.2025;;;Einmalig
D;Derendingen;19.06.2025;;;Einmalig
MZU;Medienzentrum;19.06.2025;;;Einmalig
WO;Waldhäuser-Ost;19.06.2025;;;Einmalig
D;Derendingen;20.06.2025;;;Einmalig
MZU;Medienzentrum;20.06.2025;;;Einmalig
WO;Waldhäuser-Ost;20.06.2025;;;Einmalig
D;Derendingen;31.07.2025;;;Einmalig
MZU;Medienzentrum;31.07.2025;;;Einmalig
WO;Waldhäuser-Ost;31.07.2025;;;Einmalig
D;Derendingen;01.08.2025;;;Einmalig
MZU;Medienzentrum;01.08.2025;;;Einmalig
WO;Waldhäuser-Ost;01.08.2025;;;Einmalig
D;Derendingen;04.08.2025;;;Einmalig
MZU;Medienzentrum;04.08.2025;;;Einmalig
WO;Waldhäuser-Ost;04.08.2025;;;Einmalig
D;Derendingen;05.08.2025;;;Einmalig
MZU;Medienzentrum;05.08.2025;;;Einmalig
WO;Waldhäuser-Ost;05.08.2025;;;Einmalig
D;Derendingen;06.08.2025;;;Einmalig
MZU;Medienzentrum;06.08.2025;;;Einmalig
WO;Waldhäuser-Ost;06.08.2025;;;Einmalig
D;Derendingen;07.08.2025;;;Einmalig
MZU;Medienzentrum;07.08.2025;;;Einmalig
WO;Waldhäuser-Ost;07.08.2025;;;Einmalig
D;Derendingen;08.08.2025;;;Einmalig
MZU;Medienzentrum;08.08.2025;;;Einmalig
WO;Waldhäuser-Ost;08.08.2025;;;Einmalig
D;Derendingen;11.08.2025;;;Einmalig
MZU;Medienzentrum;11.08.2025;;;Einmalig
WO;Waldhäuser-Ost;11.08.2025;;;Einmalig
D;Derendingen;12.08.2025;;;Einmalig
MZU;Medienzentrum;12.08.2025;;;Einmalig
WO;Waldhäuser-Ost;12.08.2025;;;Einmalig
D;Derendingen;13.08.2025;;;Einmalig
MZU;Medienzentrum;13.08.2025;;;Einmalig
WO;Waldhäuser-Ost;13.08.2025;;;Einmalig
D;Derendingen;14.08.2025;;;Einmalig
MZU;Medienzentrum;14.08.2025;;;Einmalig
WO;Waldhäuser-Ost;14.08.2025;;;Einmalig
D;Derendingen;15.08.2025;;;Einmalig
MZU;Medienzentrum;15.08.2025;;;Einmalig
WO;Waldhäuser-Ost;15.08.2025;;;Einmalig
D;Derendingen;18.08.2025;;;Einmalig
MZU;Medienzentrum;18.08.2025;;;Einmalig
WO;Waldhäuser-Ost;18.08.2025;;;Einmalig
D;Derendingen;19.08.2025;;;Einmalig
MZU;Medienzentrum;19.08.2025;;;Einmalig
WO;Waldhäuser-Ost;19.08.2025;;;Einmalig
D;Derendingen;20.08.2025;;;Einmalig
MZU;Medienzentrum;20.08.2025;;;Einmalig
WO;Waldhäuser-Ost;20.08.2025;;;Einmalig
D;Derendingen;21.08.2025;;;Einmalig
MZU;Medienzentrum;21.08.2025;;;Einmalig
WO;Waldhäuser-Ost;21.08.2025;;;Einmalig
D;Derendingen;22.08.2025;;;Einmalig
MZU;Medienzentrum;22.08.2025;;;Einmalig
WO;Waldhäuser-Ost;22.08.2025;;;Einmalig
D;Derendingen;25.08.2025;;;Einmalig
MZU;Medienzentrum;25.08.2025;;;Einmalig
WO;Waldhäuser-Ost;25.08.2025;;;Einmalig
D;Derendingen;26.08.2025;;;Einmalig
MZU;Medienzentrum;26.08.2025;;;Einmalig
WO;Waldhäuser-Ost;26.08.2025;;;Einmalig
D;Derendingen;27.08.2025;;;Einmalig
MZU;Medienzentrum;27.08.2025;;;Einmalig
WO;Waldhäuser-Ost;27.08.2025;;;Einmalig
D;Derendingen;28.08.2025;;;Einmalig
MZU;Medienzentrum;28.08.2025;;;Einmalig
WO;Waldhäuser-Ost;28.08.2025;;;Einmalig
D;Derendingen;29.08.2025;;;Einmalig
MZU;Medienzentrum;29.08.2025;;;Einmalig
WO;Waldhäuser-Ost;29.08.2025;;;Einmalig
D;Derendingen;01.09.2025;;;Einmalig
MZU;Medienzentrum;01.09.2025;;;Einmalig
WO;Waldhäuser-Ost;01.09.2025;;;Einmalig
D;Derendingen;02.09.2025;;;Einmalig
MZU;Medienzentrum;02.09.2025;;;Einmalig
WO;Waldhäuser-Ost;02.09.2025;;;Einmalig
D;Derendingen;03.09.2025;;;Einmalig
MZU;Medienzentrum;03.09.2025;;;Einmalig
WO;Waldhäuser-Ost;03.09.2025;;;Einmalig
D;Derendingen;04.09.2025;;;Einmalig
MZU;Medienzentrum;04.09.2025;;;Einmalig
WO;Waldhäuser-Ost;04.09.2025;;;Einmalig
D;Derendingen;05.09.2025;;;Einmalig
MZU;Medienzentrum;05.09.2025;;;Einmalig
WO;Waldhäuser-Ost;05.09.2025;;;Einmalig
D;Derendingen;08.09.2025;;;Einmalig
MZU;Medienzentrum;08.09.2025;;;Einmalig
WO;Waldhäuser-Ost;08.09.2025;;;Einmalig
D;Derendingen;09.09.2025;;;Einmalig
MZU;Medienzentrum;09.09.2025;;;Einmalig
WO;Waldhäuser-Ost;09.09.2025;;;Einmalig
D;Derendingen;10.09.2025;;;Einmalig
MZU;Medienzentrum;10.09.2025;;;Einmalig
WO;Waldhäuser-Ost;10.09.2025;;;Einmalig
D;Derendingen;11.09.2025;;;Einmalig
MZU;Medienzentrum;11.09.2025;;;Einmalig
WO;Waldhäuser-Ost;11.09.2025;;;Einmalig
D;Derendingen;12.09.2025;;;Einmalig
MZU;Medienzentrum;12.09.2025;;;Einmalig
WO;Waldhäuser-Ost;12.09.2025;;;Einmalig
D;Derendingen;02.10.2025;;;Einmalig
MZU;Medienzentrum;02.10.2025;b.F.;;Einmalig
WO;Waldhäuser-Ost;02.10.2025;;;Einmalig
D;Derendingen;27.10.2025;;;Einmalig
MZU;Medienzentrum;27.10.2025;;;Einmalig
WO;Waldhäuser-Ost;27.10.2025;;;Einmalig
D;Derendingen;28.10.2025;;;Einmalig
MZU;Medienzentrum;28.10.2025;;;Einmalig
WO;Waldhäuser-Ost;28.10.2025;;;Einmalig
D;Derendingen;29.10.2025;;;Einmalig
MZU;Medienzentrum;29.10.2025;;;Einmalig
WO;Waldhäuser-Ost;29.10.2025;;;Einmalig
D;Derendingen;30.10.2025;;;Einmalig
MZU;Medienzentrum;30.10.2025;;;Einmalig
WO;Waldhäuser-Ost;30.10.2025;;;Einmalig
D;Derendingen;31.10.2025;;;Einmalig
MZU;Medienzentrum;31.10.2025;;;Einmalig
WO;Waldhäuser-Ost;31.10.2025;;;Einmalig
D;Derendingen;22.12.2025;;;Einmalig
MZU;Medienzentrum;22.12.2025;;;Einmalig
WO;Waldhäuser-Ost;22.12.2025;;;Einmalig
D;Derendingen;23.12.2025;;;Einmalig
HST;Hauptstelle Tübingen;23.12.2025;;;Einmalig
MZU;Medienzentrum;23.12.2025;;;Einmalig
WO;Waldhäuser-Ost;23.12.2025;;;Einmalig
HST;Hauptstelle Tübingen;27.12.2025;;;Einmalig
D;Derendingen;29.12.2025;;;Einmalig
MZU;Medienzentrum;29.12.2025;;;Einmalig
WO;Waldhäuser-Ost;29.12.2025;;;Einmalig
D;Derendingen;30.12.2025;;;Einmalig
HST;Hauptstelle Tübingen;30.12.2025;;;Einmalig
MZU;Medienzentrum;30.12.2025;;;Einmalig
WO;Waldhäuser-Ost;30.12.2025;;;Einmalig
D;Derendingen;31.12.2025;;;Einmalig
HST;Hauptstelle Tübingen;31.12.2025;;;Einmalig
MZU;Medienzentrum;31.12.2025;;;Einmalig
WO;Waldhäuser-Ost;31.12.2025;;;Einmalig
D;Derendingen;02.01.2026;;;Einmalig
HST;Hauptstelle Tübingen;02.01.2026;;;Einmalig
MZU;Medienzentrum;02.01.2026;;;Einmalig
WO;Waldhäuser-Ost;02.01.2026;;;Einmalig
HST;Hauptstelle Tübingen;03.01.2026;;;Einmalig
D;Derendingen;05.01.2026;;;Einmalig
MZU;Medienzentrum;05.01.2026;;;Einmalig
WO;Waldhäuser-Ost;05.01.2026;;;Einmalig
